iter	Passed	Remaining
0	48	48855
1	49	24663
2	50	16628
3	50	12593
4	51	10184
5	51	8577
6	52	7413
7	52	6541
8	53	5877
9	54	5373
10	55	4954
11	56	4626
12	57	4331
13	57	4084
14	58	3864
15	60	3741
16	61	3576
17	62	3414
18	63	3265
19	63	3128
20	64	3008
21	65	2896
22	65	2795
23	66	2706
24	67	2618
25	72	2702
26	73	2645
27	74	2579
28	75	2514
29	76	2476
30	77	2414
31	77	2355
32	78	2302
33	79	2252
34	80	2205
35	80	2159
36	81	2117
37	81	2075
38	82	2032
39	83	1996
40	84	1970
41	85	1941
42	85	1909
43	86	1874
44	87	1848
45	88	1831
46	89	1814
47	90	1792
48	91	1770
49	91	1744
50	92	1723
51	93	1699
52	93	1675
53	94	1652
54	95	1632
55	95	1612
56	96	1593
57	96	1573
58	97	1554
59	100	1569
60	101	1554
61	102	1549
62	103	1542
63	104	1530
64	105	1515
65	106	1501
66	106	1487
67	107	1473
68	108	1461
69	108	1448
70	109	1433
71	110	1419
72	110	1405
73	111	1392
74	111	1377
75	112	1364
76	112	1352
77	113	1341
78	114	1331
79	115	1326
80	116	1319
81	117	1314
82	117	1303
83	119	1300
84	120	1296
85	122	1298
86	123	1292
87	123	1283
88	124	1276
89	125	1267
90	126	1261
91	127	1254
92	134	1314
93	135	1305
94	135	1295
95	136	1287
96	137	1279
97	138	1273
98	139	1267
99	139	1259
100	141	1255
101	141	1249
102	142	1240
103	152	1312
104	153	1304
105	153	1297
106	154	1289
107	154	1279
108	155	1271
109	156	1262
110	156	1253
111	157	1246
112	158	1242
113	159	1237
114	161	1240
115	162	1235
116	162	1228
117	165	1237
118	166	1235
119	168	1238
120	169	1231
121	170	1224
122	170	1218
123	171	1210
124	172	1204
125	174	1207
126	174	1201
127	175	1196
128	181	1222
129	182	1223
130	183	1218
131	184	1212
132	185	1206
133	186	1205
134	187	1203
135	188	1196
136	189	1191
137	189	1185
138	190	1179
139	191	1174
140	192	1173
141	194	1174
142	196	1180
143	198	1177
144	198	1171
145	199	1167
146	200	1161
147	201	1159
148	203	1163
149	204	1159
150	205	1154
151	206	1154
152	207	1150
153	208	1146
154	209	1142
155	210	1138
156	211	1137
157	212	1134
158	213	1130
159	214	1126
160	215	1121
161	217	1127
162	218	1122
163	219	1118
164	220	1114
165	221	1111
166	222	1108
167	223	1104
168	224	1103
169	225	1099
170	228	1106
171	229	1103
172	230	1100
173	231	1097
174	232	1096
175	233	1093
176	234	1091
177	235	1088
178	236	1085
179	238	1088
180	239	1085
181	240	1082
182	241	1079
183	247	1099
184	248	1095
185	249	1092
186	251	1093
187	252	1091
188	281	1209
189	283	1208
190	284	1204
191	285	1200
192	286	1197
193	287	1193
194	288	1189
195	289	1188
196	290	1185
197	291	1181
198	292	1177
199	293	1175
200	294	1171
201	295	1167
202	296	1163
203	297	1159
204	297	1155
205	298	1151
206	299	1148
207	300	1143
208	301	1139
209	301	1135
210	310	1161
211	311	1157
212	312	1154
213	313	1150
214	314	1147
215	319	1159
216	320	1155
217	320	1150
218	321	1145
219	321	1141
220	322	1137
221	323	1133
222	329	1147
223	330	1144
224	331	1141
225	332	1137
226	333	1134
227	334	1131
228	335	1128
229	335	1124
230	336	1120
231	337	1115
232	337	1112
233	339	1111
234	349	1138
235	350	1135
236	351	1132
237	352	1130
238	354	1127
239	361	1145
240	362	1142
241	363	1138
242	364	1134
243	364	1130
244	391	1206
245	402	1234
246	408	1245
247	417	1264
248	418	1261
249	419	1257
250	420	1253
251	421	1252
252	423	1251
253	432	1270
254	433	1267
255	434	1264
256	442	1278
257	443	1275
258	446	1278
259	448	1275
260	452	1280
261	453	1276
262	457	1281
263	458	1278
264	459	1274
265	466	1288
266	468	1285
267	471	1288
268	472	1284
269	477	1289
270	477	1285
271	478	1280
272	478	1275
273	480	1272
274	481	1268
275	488	1280
276	490	1280
277	493	1281
278	494	1278
279	496	1275
280	497	1271
281	507	1291
282	509	1291
283	510	1287
284	511	1283
285	512	1280
286	517	1286
287	522	1290
288	533	1312
289	534	1308
290	542	1320
291	543	1316
292	552	1333
293	553	1329
294	554	1324
295	554	1319
296	555	1314
297	557	1313
298	559	1312
299	562	1312
300	563	1308
301	567	1312
302	568	1308
303	571	1309
304	572	1305
305	583	1322
306	584	1319
307	586	1318
308	590	1321
309	591	1316
310	592	1312
311	600	1324
312	601	1319
313	605	1322
314	605	1317
315	606	1313
316	609	1313
317	610	1309
318	615	1313
319	616	1309
320	621	1315
321	624	1314
322	624	1309
323	625	1305
324	631	1311
325	632	1308
326	633	1304
327	635	1302
328	637	1299
329	637	1295
330	638	1290
331	639	1285
332	639	1281
333	640	1277
334	647	1286
335	648	1281
336	649	1277
337	649	1272
338	650	1268
339	665	1291
340	671	1297
341	680	1308
342	681	1304
343	681	1300
344	682	1296
345	683	1291
346	683	1287
347	685	1284
348	687	1281
349	690	1282
350	691	1279
351	700	1288
352	700	1284
353	702	1282
354	704	1280
355	706	1277
356	707	1274
357	708	1271
358	709	1267
359	710	1262
360	710	1258
361	711	1254
362	712	1250
363	713	1245
364	713	1241
365	714	1237
366	714	1233
367	715	1228
368	716	1224
369	726	1237
370	728	1234
371	728	1230
372	729	1226
373	730	1222
374	732	1220
375	733	1218
376	734	1214
377	735	1210
378	736	1207
379	738	1204
380	739	1201
381	740	1198
382	741	1194
383	742	1190
384	742	1186
385	743	1182
386	744	1179
387	745	1175
388	746	1172
389	747	1169
390	748	1165
391	748	1161
392	749	1158
393	750	1154
394	751	1151
395	759	1157
396	760	1154
397	762	1152
398	763	1149
399	764	1146
400	765	1142
401	766	1139
402	767	1136
403	768	1134
404	769	1131
